variable,table,category,status,source,notes
R0_BreastDiscomfort_Cur,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Menstrual and Menopause
R0_BreastInjuryDisease,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BreastInjuryDiseaseAge,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BreastInjuryDisease_Type,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BreastfeedingBreast,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Fertility and Pregnancies
R0_BrokenHip,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: illnesses
R0_BrokenHip_Age,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: illnesses
R0_BrokenHip_Yr,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: illnesses
R0_CTChestNeckScan,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,X-rays
R0_Caesarean_Reason,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Birth Details
R0_CalciumDurationYrs,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: drugs and suppliments
R0_CalciumSuppUse,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: drugs and suppliments
R0_CancerBreastLocation1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_CancerBreastLocation2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
