variable,table,category,status,source,notes
LIFESTYLE_SOCIAL_REC_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_SOCIAL_VISITS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SLEEP_CHRONOTYPE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SLEEP_DAYTIME_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SLEEP_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SLEEP_NAPPING_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SLEEP_SNORING_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SLEEP_TROUBLE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SLEEP_WAKING_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_100_TIMES_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_100_TIMES_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_AVG_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_AVG_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_AVG_PREV_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_ABST_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_ABST_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_ABST_REASON_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_REDUCE_ABST_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_REDUCE_ABST_REASON_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_REDUCE_REASON_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_CHG_REDUCE_REASON_2_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_EXPOSE_HOUSE_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_EXPOSE_OUTSIDE_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_EXPOSURE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_EXPOSURE_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
